word,category,mean Happiness,mean Anger,mean Sadness,mean Fear,mean Disgust,distance to H,distance to A,distance to S,distance to F,distance to D,distance to N
dobrodziejstwo,H,5.3076925,1.1923077,1.3076923,1.1538461,1.2307693,1.9914197,7.4267764,7.3312144,7.4438205,7.3749523,4.463489
kakao,H,5.1923075,1.1923077,1.3461539,1.1923077,1.3461539,2.196018,7.5312533,7.41741,7.562106,7.426959,4.567326
"masaż",H,5.5,1.1923077,1.0769231,1.1923077,1.1923077,1.8111858,7.4978666,7.6059527,7.5074835,7.504282,4.609275
"szczęśliwy",H,6.5,1.2692307,1.3846154,1.4230769,1.1538461,1.1013889,8.176884,8.086462,8.066401,8.271592,5.7590284
medal,H,5.5384617,1.5,1.3461539,1.1153846,1.0,1.9892392,7.3825994,7.496841,7.6917577,7.783203,4.7582855
"łagodzić",H,5.0,1.3076923,1.3076923,1.3076923,1.1153846,2.3444197,7.1528726,7.150384,7.1489587,7.316553,4.20088
owocowy,H,5.1153846,1.1538461,1.1153846,1.1538461,1.3461539,2.144527,7.353798,7.3899355,7.353798,7.148986,4.3386097
malinowy,H,4.923077,1.0769231,1.2307693,1.0769231,1.1923077,2.2523792,7.261772,7.101023,7.261772,7.156579,4.0411177
"miły",H,5.3846154,1.3846154,1.5,1.2692307,1.2692307,2.1784048,7.4616504,7.3308477,7.5575266,7.5569334,4.804986
"wolność",H,5.8846154,1.3461539,1.4230769,2.1923077,1.2307693,2.3761327,8.016722,7.968496,7.3462243,8.108694,5.458663
czysty,H,5.423077,1.2692307,1.2692307,1.1538461,1.0,1.8911794,7.4520392,7.449369,7.549721,7.667522,4.5529284
udany,H,5.5,1.3461539,1.1538461,1.3846154,1.1538461,1.8748109,7.4635673,7.6301303,7.422907,7.6160026,4.738273
wygodny,H,5.0,1.3461539,1.2692307,1.2307693,1.4615384,2.4269707,7.2070413,7.2697263,7.312813,7.125367,4.3295317
"rozkwitać",H,5.6923075,1.2692307,1.3461539,1.5769231,1.3461539,2.0861979,7.842198,7.7570224,7.589988,7.7831087,5.099179
puchar,H,5.0384617,1.2692307,1.1153846,1.3076923,1.1153846,2.2610536,7.2817783,7.443497,7.2565665,7.443497,4.3061514
wypoczynek,H,6.076923,1.4615384,1.3461539,1.5,1.0769231,1.5496253,7.791453,7.8612237,7.7592063,8.074729,5.3966665
wsparcie,H,5.423077,1.5,1.6153846,1.7692307,1.2307693,2.391919,7.5433736,7.434817,7.301003,7.7760134,5.0774646
dobroduszny,H,5.269231,1.5384616,1.5,1.3076923,1.1923077,2.3603907,7.1943073,7.233602,7.386887,7.487038,4.559097
"wspierać",H,5.5384617,1.3846154,1.8076923,1.4230769,1.0769231,2.3600445,7.5511017,7.195792,7.5308833,7.7926226,4.9017725
oklaski,H,5.423077,1.4615384,1.1538461,1.6538461,1.2692307,2.2314448,7.4253354,7.6755533,7.292548,7.6035767,4.898572
